hyponym	1
terrorism.n.01	2b46
state-sponsored_terrorism.n.01	2b47
wherry.n.01	2b48
catch.n.07	2b49
crusade.n.02	2b4a
junction.n.01	2b4b
traffic_circle.n.01	2b4c
machine.n.04	2b4d
cucumber.n.02	2b4e
end.n.07	2b4f
changeableness.n.01	2b50
mutability.n.01	2b51
bush_clover.n.01	2b52
japanese_clover.n.01	2b53
window_oyster.n.01	2b54
league.n.01	2b55
orthography.n.01	2b56
hieroglyph.n.02	2b57
kerb_crawler.n.01	2b58
boletaceae.n.01	2b59
eblis.n.01	2b5a
tomatillo.n.03	2b5b
carya.n.01	2b5c
quartering.n.02	2b5d
crown.v.01	2b5e
narration.n.02	2b5f
center_for_disease_control_and_prevention.n.01	2b60
helpmate.n.01	2b61
calvinism.n.01	2b62
fundamental_quantity.n.01	2b63
pickeringia.n.01	2b64
swagger.v.03	2b65
spot.n.07	2b66
vole.n.01	2b67
water_vole.n.01	2b68
fall_back.v.03	2b69
ebb.v.01	2b6a
water_snake.n.01	2b6b
grass_snake.n.01	2b6c
dandy.n.01	2b6d
coxcomb.n.01	2b6e
construction.n.06	2b6f
interchange.n.02	2b70
dealings.n.01	2b71
buy_back.v.01	2b72
animal_skin.n.01	2b73
illumination.n.02	2b74
light.n.09	2b75
political_arena.n.01	2b76
learned_profession.n.01	2b77
medicine.n.03	2b78
passion_fruit.n.01	2b79
jet_engine.n.01	2b7a
fanjet.n.02	2b7b
nose.n.06	2b7c
fishbowl.n.02	2b7d
pace.v.01	2b7e
adversary.n.01	2b7f
withstander.n.01	2b80
conferee.n.02	2b81
informant.n.01	2b82
reply.n.02	2b83
rejoinder.n.01	2b84
pine-tar_rag.n.01	2b85
format.n.01	2b86
high-level_formatting.n.01	2b87
excavate.v.04	2b88
abrasion.n.02	2b89
fly.n.04	2b8a
pop_fly.n.01	2b8b
spar.v.02	2b8c
shiite.n.01	2b8d
pronunciation.n.02	2b8e
palate.n.01	2b8f
potato.n.02	2b90
sharpness.n.05	2b91
obedience.n.02	2b92
submissiveness.n.01	2b93
ketoprofen.n.01	2b94
platform.n.04	2b95
gun_enclosure.n.01	2b96
rectum.n.01	2b97
musician.n.01	2b98
pianist.n.01	2b99
blockade.n.02	2b9a
disability.n.01	2b9b
prolapse.n.01	2b9c
neglect.v.01	2b9d
jump.v.13	2b9e
lepidosauria.n.01	2b9f
cultivated_land.n.01	2ba0
socialism.n.02	2ba1
communism.n.01	2ba2
twinflower.n.01	2ba3
mockingbird.n.01	2ba4
sanitary_condition.n.01	2ba5
cleanness.n.01	2ba6
hog_plum.n.01	2ba7
disappearance.n.01	2ba8
carina.n.02	2ba9
band.n.07	2baa
collar.n.01	2bab
barrel.n.02	2bac
bull_snake.n.01	2bad
sanitary_napkin.n.01	2bae
youth_subculture.n.01	2baf
flower_people.n.01	2bb0
ruler.n.01	2bb1
overlord.n.01	2bb2
aquatic_fern.n.01	2bb3
floating_fern.n.02	2bb4
twenty-two.n.02	2bb5
transience.n.01	2bb6
fugacity.n.02	2bb7
plumbing_fixture.n.01	2bb8
sink.n.01	2bb9
heteropterous_insect.n.01	2bba
retire.v.06	2bbb
plot.v.01	2bbc
scheme.v.01	2bbd
delegating.n.01	2bbe
devolution.n.02	2bbf
frost.n.01	2bc0
hole.n.01	2bc1
aperture.n.02	2bc2
diet.n.01	2bc3
clamp_down.v.01	2bc4
changeling.n.02	2bc5
genus_gazania.n.01	2bc6
rake.v.05	2bc7
feather_palm.n.01	2bc8
oil_palm.n.01	2bc9
stammerer.n.01	2bca
genus_anthurium.n.01	2bcb
na-dene.n.01	2bcc
cucumis.n.01	2bcd
purchase.n.01	2bce
buying.n.01	2bcf
tonic.n.04	2bd0
check_mark.n.01	2bd1
alexander.n.01	2bd2
shop_girl.n.01	2bd3
prophesy.v.01	2bd4
class.n.06	2bd5
cover.v.02	2bd6
ethnic_group.n.01	2bd7
trade.n.01	2bd8
millennium.n.01	2bd9
grammatical_meaning.n.01	2bda
custard_apple.n.01	2bdb
soursop.n.01	2bdc
termer.n.01	2bdd
attendance.n.01	2bde
magnetic_disk.n.01	2bdf
hard_disc.n.01	2be0
phyllocladaceae.n.01	2be1
primping.n.01	2be2
forfeit.v.01	2be3
double_dutch.n.01	2be4
eupatorium.n.01	2be5
construction.n.01	2be6
erecting.n.01	2be7
undependability.n.01	2be8
irreproducibility.n.01	2be9
torpediniformes.n.01	2bea
active.n.03	2beb
paganism.n.01	2bec
wet.v.02	2bed
sweet_corn.n.01	2bee
joint.n.05	2bef
hinge.n.01	2bf0
killing.n.02	2bf1
death.n.08	2bf2
sagacity.n.01	2bf3
eye.n.02	2bf4
registrar.n.03	2bf5
spodumene.n.01	2bf6
hit.v.02	2bf7
run_into.v.02	2bf8
signalize.v.01	2bf9
sea_cucumber.n.01	2bfa
rupicola.n.01	2bfb
national_trust.n.01	2bfc
piglet.n.01	2bfd
art.n.02	2bfe
sculpture.n.02	2bff
soot.v.01	2c00
figure.n.06	2c01
reformism.n.01	2c02
profession.n.01	2c03
health_profession.n.01	2c04
show.v.04	2c05
slave.n.02	2c06
traffic.n.01	2c07
vehicular_traffic.n.01	2c08
character.n.03	2c09
spirit.n.03	2c0a
crib.v.02	2c0b
psychoactive_drug.n.01	2c0c
aspirate.v.01	2c0d
ice_rink.n.01	2c0e
ice_hockey_rink.n.01	2c0f
marching_music.n.01	2c10
processional_march.n.01	2c11
vertebrata.n.01	2c12
stolen_property.n.01	2c13
spoil.n.01	2c14
grate.n.01	2c15
liberalize.v.02	2c16
descend.v.01	2c17
actiniaria.n.01	2c18
pre-raphaelite.n.01	2c19
schutzstaffel.n.01	2c1a
periodic_event.n.01	2c1b
pulse.n.02	2c1c
black_nightshade.n.01	2c1d
garden_huckleberry.n.01	2c1e
recapitulate.v.01	2c1f
master.v.04	2c20
cinch.v.03	2c21
ossicle.n.01	2c22
filling.n.06	2c23
flood.n.05	2c24
peneidae.n.01	2c25
thrill.v.01	2c26
garrulity.n.01	2c27
pesticide.n.01	2c28
insecticide.n.01	2c29
polygamist.n.01	2c2a
cox-2_inhibitor.n.01	2c2b
rofecoxib.n.01	2c2c
salamandra.n.01	2c2d
trailer_truck.n.01	2c2e
tandem_trailer.n.01	2c2f
egalitarianism.n.01	2c30
revolutionary_calendar_month.n.01	2c31
graphite.n.01	2c32
yip.n.01	2c33
medical_care.n.01	2c34
decade.n.01	2c35
thalassemia.n.01	2c36
rule.n.11	2c37
heuristic.n.01	2c38
chase_away.v.01	2c39
qualify.v.02	2c3a
delegate.v.01	2c3b
whitey.n.01	2c3c
ductule.n.01	2c3d
embezzler.n.01	2c3e
extension.n.02	2c3f
seat.v.02	2c40
gas-discharge_tube.n.01	2c41
cathode-ray_tube.n.01	2c42
mealybug.n.01	2c43
lighter.n.02	2c44
fuse.n.02	2c45
cover.v.09	2c46
inflame.v.04	2c47
tunisian_monetary_unit.n.01	2c48
toy.v.02	2c49
medal_of_honor.n.01	2c4a
exchanger.n.01	2c4b
attalea.n.01	2c4c
nasturtium.n.02	2c4d
attache.n.01	2c4e
regularize.v.02	2c4f
even.v.03	2c50
expose.v.07	2c51
overexpose.v.01	2c52
hypoxia.n.01	2c53
anoxia.n.01	2c54
bridge.v.03	2c55
pollute.v.01	2c56
infect.v.02	2c57
buckthorn.n.01	2c58
cascara_buckthorn.n.01	2c59
cell.n.07	2c5a
arca.n.01	2c5b
document.v.02	2c5c
visual_property.n.01	2c5d
habsburg.n.01	2c5e
glance.v.01	2c5f
tiliomycetes.n.01	2c60
clumsy_person.n.01	2c61
lout.n.01	2c62
payroll.n.01	2c63
comfort.n.01	2c64
harnessed_antelope.n.01	2c65
nyala.n.02	2c66
tricyclic.n.01	2c67
doxepin.n.01	2c68
concern.n.04	2c69
burden.n.01	2c6a
garter_snake.n.01	2c6b
tie.v.01	2c6c
loop.v.05	2c6d
dysplasia.n.01	2c6e
hypertrophy.n.01	2c6f
recapitulate.v.02	2c70
feather.n.01	2c71
bastard_wing.n.01	2c72
mother-in-law.n.01	2c73
bandicoot.n.01	2c74
rabbit-eared_bandicoot.n.01	2c75
matter_to.v.01	2c76
soloist.n.01	2c77
ratite.n.01	2c78
ostrich.n.02	2c79
endogamy.n.01	2c7a
joint_chiefs_of_staff.n.01	2c7b
scaphopod.n.01	2c7c
voicer.n.02	2c7d
mastoid.n.01	2c7e
elateridae.n.01	2c7f
principle.n.02	2c80
legal_principle.n.01	2c81
sandalwood_tree.n.01	2c82
hypochaeris.n.01	2c83
dimwit.n.01	2c84
genealogy.n.02	2c85
armored_vehicle.n.01	2c86
armored_car.n.02	2c87
unilateralism.n.01	2c88
goat.n.01	2c89
wild_goat.n.01	2c8a
mastectomy.n.01	2c8b
army_officer.n.01	2c8c
butterfly_orchid.n.01	2c8d
classical_mythology.n.01	2c8e
greek_mythology.n.01	2c8f
gate.n.01	2c90
tailgate.n.01	2c91
apprehender.n.02	2c92
sumo.n.01	2c93
river_basin.n.01	2c94
retention_basin.n.01	2c95
pilgrimage.n.01	2c96
government.n.02	2c97
trust_busting.n.01	2c98
curse.v.01	2c99
addition.n.03	2c9a
mix.n.01	2c9b
ravel.v.02	2c9c
inachis.n.01	2c9d
sadhe.n.01	2c9e
foil.n.04	2c9f
attentiveness.n.03	2ca0
mindfulness.n.01	2ca1
periwinkle.n.02	2ca2
witch.n.02	2ca3
fishing_line.n.01	2ca4
trawl.n.01	2ca5
angle.n.01	2ca6
inclination.n.02	2ca7
influence.n.03	2ca8
glabella.n.01	2ca9
whine.v.04	2caa
pomegranate.n.01	2cab
yeast.n.02	2cac
tailed_frog.n.01	2cad
surge.v.05	2cae
shame.v.03	2caf
sciaenid_fish.n.01	2cb0
whiting.n.04	2cb1
thermometer.n.01	2cb2
pyrometer.n.01	2cb3
authorize.v.01	2cb4
upper_respiratory_tract.n.01	2cb5
attend.v.02	2cb6
trust_deed.n.01	2cb7
tuna.n.03	2cb8
diaphragm.n.02	2cb9
engineering.n.02	2cba
biotechnology.n.02	2cbb
putrefaction.n.01	2cbc
putrescence.n.01	2cbd
encourage.v.02	2cbe
spur.v.02	2cbf
dracaena.n.01	2cc0
honk.v.01	2cc1
tootle.v.01	2cc2
trust.n.04	2cc3
drug_cartel.n.01	2cc4
falsehood.n.01	2cc5
dodge.n.03	2cc6
public_works.n.01	2cc7
blockage.n.03	2cc8
kei_apple.n.01	2cc9
spoil.v.02	2cca
blond.n.01	2ccb
accuse.v.01	2ccc
charge.v.06	2ccd
video.n.01	2cce
fitness.n.01	2ccf
cavern.v.01	2cd0
metric_function.n.01	2cd1
attention.n.05	2cd2
watchfulness.n.01	2cd3
welwitschiaceae.n.01	2cd4
regulation.n.06	2cd5
limitation.n.05	2cd6
saver.n.02	2cd7
hoarder.n.01	2cd8
distress.n.01	2cd9
anguish.n.01	2cda
conversationalist.n.01	2cdb
progress.v.01	2cdc
climb.v.05	2cdd
columnist.n.01	2cde
iceboat.n.02	2cdf
atmosphere.n.03	2ce0
fringed_orchis.n.01	2ce1
breed.v.04	2ce2
polyphony.n.01	2ce3
playing.n.02	2ce4
puree.n.01	2ce5
deface.v.01	2ce6
maul.v.02	2ce7
sleeping_car.n.01	2ce8
guilt.n.02	2ce9
survivor_guilt.n.01	2cea
observe.v.06	2ceb
commemorate.v.01	2cec
bonduc_nut.n.01	2ced
genus_woodsia.n.01	2cee
exhaustion.n.01	2cef
midshipman.n.01	2cf0
infancy.n.01	2cf1
matthiola.n.01	2cf2
lymphocyte.n.01	2cf3
photographic_equipment.n.01	2cf4
tasmanian_devil.n.01	2cf5
petit_juror.n.01	2cf6
tropidoclonion.n.01	2cf7
urinalysis.n.01	2cf8
transfer.n.05	2cf9
cakile.n.01	2cfa
smear.n.01	2cfb
anthericum.n.01	2cfc
revival.n.01	2cfd
resurrection.n.02	2cfe
iroquoian.n.01	2cff
flatten.v.01	2d00
troop_movement.n.01	2d01
polyangiaceae.n.01	2d02
dog's_mercury.n.01	2d03
adult_respiratory_distress_syndrome.n.01	2d04
shorten.v.01	2d05
ripen.v.01	2d06
blooming.n.01	2d07
trematoda.n.01	2d08
plane_tree.n.01	2d09
fly.v.01	2d0a
place_of_business.n.01	2d0b
store.n.02	2d0c
hoard.n.01	2d0d
monk.n.01	2d0e
brother.n.05	2d0f
zenith.n.01	2d10
canton.v.02	2d11
entry.n.03	2d12
ochotonidae.n.01	2d13
ateles.n.01	2d14
disavowal.n.01	2d15
dictyopterous_insect.n.01	2d16
cockroach.n.01	2d17
demarcate.v.01	2d18
absolutist.n.01	2d19
interfere.v.01	2d1a
fan_palm.n.01	2d1b
carnauba.n.02	2d1c
navaho.n.02	2d1d
pretense.n.02	2d1e
strike.v.07	2d1f
wait.v.01	2d20
stand_by.v.02	2d21
ford.n.07	2d22
endoparasite.n.01	2d23
bursa_omentalis.n.01	2d24
bog_asphodel.n.01	2d25
tend.v.01	2d26
land.v.04	2d27
ground.v.05	2d28
insectivore.n.01	2d29
shrew.n.02	2d2a
vindication.n.01	2d2b
justification.n.03	2d2c
staff.n.01	2d2d
headquarters_staff.n.01	2d2e
walk.n.01	2d2f
plodding.n.02	2d30
thin.v.02	2d31
divvy.n.01	2d32
malingering.n.01	2d33
pilgrim.n.03	2d34
reflection.n.08	2d35
echo.n.01	2d36
cousin.n.01	2d37
gulf.n.01	2d38
death.n.02	2d39
necrosis.n.01	2d3a
hymenopterous_insect.n.01	2d3b
wasp.n.02	2d3c
lime.v.02	2d3d
hang.v.11	2d3e
goosefoot.n.01	2d3f
urogenital_system.n.01	2d40
precession.n.02	2d41
anacyclus.n.01	2d42
sclerodermatales.n.01	2d43
epithelium.n.01	2d44
reproduction.n.01	2d45
womanhood.n.03	2d46
decelerate.v.02	2d47
retard.v.01	2d48
magnifier.n.01	2d49
microscope.n.01	2d4a
regression.n.04	2d4b
residency.n.01	2d4c
wind.v.02	2d4d
tumble.v.01	2d4e
agdestis.n.01	2d4f
crataegus.n.01	2d50
disorder.v.02	2d51
disarrange.v.02	2d52
turnaround.n.03	2d53
salesclerk.n.01	2d54
sleep_disorder.n.01	2d55
sleep_apnea.n.01	2d56
abetalipoproteinemia.n.01	2d57
forgive.v.01	2d58
cero.n.01	2d59
semiconductor.n.01	2d5a
germanium.n.01	2d5b
record.n.01	2d5c
file.n.01	2d5d
open-end_credit.n.01	2d5e
credit_card.n.01	2d5f
anniellidae.n.01	2d60
cicadidae.n.01	2d61
bad_person.n.01	2d62
shocker.n.01	2d63
capital.n.03	2d64
state_capital.n.01	2d65
plate.n.14	2d66
austronesian.n.02	2d67
malayo-polynesian.n.01	2d68
editing.n.01	2d69
grope.v.01	2d6a
mustard.n.02	2d6b
powdered_mustard.n.01	2d6c
casuistry.n.01	2d6d
docket.v.02	2d6e
acrylic.n.02	2d6f
basket.n.03	2d70
caeciliidae.n.01	2d71
corynebacteriaceae.n.01	2d72
scrape.v.01	2d73
repose.n.03	2d74
reach.v.04	2d75
counter.v.01	2d76
railroad_track.n.01	2d77
decarbonize.v.01	2d78
phenol.n.01	2d79
spice.n.02	2d7a
chinese_anise.n.02	2d7b
charge.v.03	2d7c
levy.v.01	2d7d
second-rater.n.01	2d7e
jump_ball.n.01	2d7f
bobsled.n.01	2d80
used-car.n.01	2d81
neck.n.02	2d82
horizontal_surface.n.01	2d83
immunization.n.01	2d84
sensitizing.n.01	2d85
strengthen.v.01	2d86
reinforce.v.01	2d87
roly-poly.n.02	2d88
objection.n.02	2d89
demur.n.01	2d8a
holiday.n.02	2d8b
slav.n.01	2d8c
croatian.n.01	2d8d
spectrum.n.01	2d8e
radio_spectrum.n.01	2d8f
glossitis.n.01	2d90
feminist_movement.n.01	2d91
existentialist.n.01	2d92
stewardship.n.01	2d93
sipuncula.n.01	2d94
cleaning.n.01	2d95
depilation.n.02	2d96
deviate.v.02	2d97
aberrate.v.02	2d98
greet.v.01	2d99
salute.v.02	2d9a
intensify.v.03	2d9b
erupt.v.02	2d9c
asshole.n.01	2d9d
halictidae.n.01	2d9e
garden.n.03	2d9f
tack.v.01	2da0
nyctalopia.n.01	2da1
backfire.v.01	2da2
front_man.n.01	2da3
mallotus.n.01	2da4
asset.n.01	2da5
provoke.v.03	2da6
agitate.v.01	2da7
matrix_algebra.n.01	2da8
odobenidae.n.01	2da9
conciliator.n.01	2daa
appeaser.n.01	2dab
genus_stevia.n.01	2dac
crape_myrtle.n.01	2dad
martial_art.n.01	2dae
t'ai_chi.n.01	2daf
falcon.n.01	2db0
peregrine.n.01	2db1
shrimp.n.03	2db2
end.v.02	2db3
conclude.v.02	2db4
heaven.n.02	2db5
coronilla.n.01	2db6
calculation.n.01	2db7
recall.n.04	2db8
reconstruction.n.04	2db9
nepalese.n.01	2dba
agitate.v.02	2dbb
hype_up.v.01	2dbc
incipiency.n.01	2dbd
probate.v.02	2dbe
peasant.n.01	2dbf
vertebra.n.01	2dc0
almond.n.02	2dc1
antenna.n.01	2dc2
directional_antenna.n.01	2dc3
chamaecytisus.n.01	2dc4
service.n.11	2dc5
reassertion.n.01	2dc6
kahikatea.n.01	2dc7
ejaculate.v.02	2dc8
protease_inhibitor.n.01	2dc9
grocery_store.n.01	2dca
dally.v.01	2dcb
innocence.n.03	2dcc
clear.n.01	2dcd
nautical_mile.n.02	2dce
common_stock.n.01	2dcf
class.n.01	2dd0
evaporate.v.02	2dd1
paleobiology.n.01	2dd2
schism.n.01	2dd3
genus_andrena.n.01	2dd4
yenta.n.02	2dd5
feed.n.01	2dd6
petfood.n.01	2dd7
submarine.n.01	2dd8
attack_submarine.n.01	2dd9
miscarriage.n.01	2dda
sweat_gland.n.01	2ddb
dent.n.01	2ddc
toilet.n.02	2ddd
sphere.n.05	2dde
drop.n.01	2ddf
jimdandy.n.01	2de0
decrease.n.03	2de1
tanning.n.01	2de2
burn.v.15	2de3
char.v.02	2de4
attribution.n.02	2de5
ideologist.n.01	2de6
preoccupy.v.02	2de7
spaniel.n.01	2de8
plaiter.n.01	2de9
race.n.01	2dea
political_campaign.n.01	2deb
naja.n.01	2dec
discoglossidae.n.01	2ded
remember.v.02	2dee
retain.v.04	2def
ensis.n.01	2df0
baby.n.06	2df1
sulindac.n.01	2df2
sick.n.01	2df3
advertorial.n.01	2df4
fuel-air_explosive.n.01	2df5
gourd.n.03	2df6
prairie_gourd.n.02	2df7
contention.n.01	2df8
submission.n.07	2df9
batch.n.02	2dfa
haymow.n.01	2dfb
waiter.n.01	2dfc
waitress.n.01	2dfd
toxin.n.01	2dfe
repel.v.02	2dff
turn_off.v.03	2e00
incense_tree.n.01	2e01
myrrh_tree.n.01	2e02
field.n.14	2e03
bursera.n.01	2e04
hydromantes.n.01	2e05
categorize.v.01	2e06
expensiveness.n.01	2e07
sheik.n.01	2e08
affray.n.01	2e09
culminate.v.04	2e0a
apple.n.01	2e0b
eating_apple.n.01	2e0c
marmoset.n.01	2e0d
tamarin.n.01	2e0e
nymphaeaceae.n.01	2e0f
knock.n.03	2e10
calamus.n.02	2e11
trichoceros.n.01	2e12
phytolacca.n.01	2e13
medicate.v.02	2e14
salve.v.02	2e15
concede.v.02	2e16
impression.n.06	2e17
proof.n.04	2e18
devolve.v.03	2e19
tire.v.01	2e1a
individualization.n.01	2e1b
rock_gunnel.n.01	2e1c
witness.v.02	2e1d
puff.v.02	2e1e
teething.n.01	2e1f
coralberry.n.02	2e20
stabilizer.n.03	2e21
bioassay.n.01	2e22
blockbuster.n.02	2e23
turn.v.10	2e24
stew.n.02	2e25
hot_pot.n.01	2e26
military_position.n.01	2e27
decentralize.v.01	2e28
burning.n.01	2e29
arson.n.01	2e2a
lagodon.n.01	2e2b
falco.n.01	2e2c
mover.n.01	2e2d
membrane.n.01	2e2e
holmium.n.01	2e2f
wild_calla.n.01	2e30
demineralization.n.02	2e31
inject.v.01	2e32
legality.n.01	2e33
greater_spearwort.n.01	2e34
cocuswood.n.01	2e35
amoralism.n.01	2e36
canidae.n.01	2e37
disorder.n.03	2e38
anarchy.n.01	2e39
drug_user.n.01	2e3a
addict.n.02	2e3b
duel.n.01	2e3c
social_organization.n.01	2e3d
matriarchy.n.01	2e3e
rescue.n.01	2e3f
salvage.n.02	2e40
constriction.n.04	2e41
spasm.n.02	2e42
thunnus.n.01	2e43
star_saxifrage.n.01	2e44
transfix.v.02	2e45
spear.v.01	2e46
golf_equipment.n.01	2e47
tee.n.03	2e48
trautvetteria.n.01	2e49
class_list.n.01	2e4a
sportswear.n.01	2e4b
realtor.n.01	2e4c
cigarette.n.01	2e4d
cubeb.n.03	2e4e
mesua.n.01	2e4f
power.n.05	2e50
juggernaut.n.01	2e51
prophecy.n.01	2e52
residue.n.01	2e53
comply.v.01	2e54
oblige.v.03	2e55
builder.n.01	2e56
ratitae.n.01	2e57
distribution.n.03	2e58
survey.v.05	2e59
poll.v.01	2e5a
applicator.n.01	2e5b
day.n.01	2e5c
bus.n.01	2e5d
anger.n.01	2e5e
finch.n.01	2e5f
friend.n.01	2e60
mate.n.08	2e61
reprobation.n.02	2e62
negligence.n.02	2e63
laxness.n.01	2e64
spittle_insect.n.01	2e65
takeoff.n.02	2e66
founder.n.02	2e67
saururus.n.01	2e68
outgo.n.01	2e69
mire.n.01	2e6a
species.n.01	2e6b
rhabdoviridae.n.01	2e6c
division.n.01	2e6d
mania.n.02	2e6e
team.n.01	2e6f
basketball_team.n.01	2e70
nominal_damages.n.01	2e71
irenidae.n.01	2e72
sanicle.n.01	2e73
bletilla.n.01	2e74
hat.n.01	2e75
dress_hat.n.01	2e76
clathraceae.n.01	2e77
diphenylbutyl_piperidine.n.01	2e78
kinescope.n.01	2e79
hoary_alison.n.01	2e7a
affidavit.n.01	2e7b
transfer.v.02	2e7c
phrase.n.02	2e7d
pizza.n.01	2e7e
commercial_bank.n.01	2e7f
announce.v.02	2e80
eat.v.02	2e81
lunch.v.01	2e82
preserve.n.01	2e83
inconstancy.n.02	2e84
derive.v.04	2e85
hedonism.n.01	2e86
sweet_orange.n.02	2e87
counselor.n.01	2e88
eschrichtiidae.n.01	2e89
legislature.n.01	2e8a
senate.n.01	2e8b
placuna.n.01	2e8c
eradication.n.01	2e8d
linguist.n.02	2e8e
carex.n.01	2e8f
trichechidae.n.01	2e90
industry.n.02	2e91
gasterosteus.n.01	2e92
aceraceae.n.01	2e93
lawsuit.n.01	2e94
paternity_suit.n.01	2e95
suck.v.01	2e96
epithelial_cell.n.01	2e97
measuring_instrument.n.01	2e98
intangibility.n.01	2e99
excellence.n.01	2e9a
jewel.n.02	2e9b
dry_unit.n.01	2e9c
polyangium.n.01	2e9d
praetorship.n.01	2e9e
color.n.03	2e9f
divestiture.n.01	2ea0
mourn.v.02	2ea1
starer.n.01	2ea2
olive.n.05	2ea3
liabilities.n.01	2ea4
debt.n.02	2ea5
lipid.n.01	2ea6
bass.n.07	2ea7
place_of_worship.n.01	2ea8
synagogue.n.01	2ea9
routine.n.01	2eaa
therapist.n.01	2eab
alleviator.n.01	2eac
terrorist_organization.n.01	2ead
blintz.n.01	2eae
drive_home.v.02	2eaf
sardine.n.02	2eb0
experiment.n.01	2eb1
settlement.n.03	2eb2
accommodation.n.02	2eb3
drink.v.02	2eb4
wine.v.01	2eb5
piciform_bird.n.01	2eb6
woodpecker.n.01	2eb7
hazelnut.n.01	2eb8
blazing_star.n.02	2eb9
commission.n.06	2eba
matchmaker.n.01	2ebb
introduce.v.01	2ebc
anseriform_bird.n.01	2ebd
run_off.v.07	2ebe
datura.n.01	2ebf
fury.n.01	2ec0
prominence.n.01	2ec1
limelight.n.01	2ec2
station.v.01	2ec3
locate.v.03	2ec4
twinkle.n.01	2ec5
veteran.n.03	2ec6
villa.n.02	2ec7
control.v.01	2ec8
alsatian.n.01	2ec9
pocket_rat.n.01	2eca
pocket_mouse.n.01	2ecb
fathom.n.01	2ecc
work_out.v.05	2ecd
morphology.n.01	2ece
anatomy.n.01	2ecf
islamist.n.02	2ed0
taro.n.02	2ed1
smash.v.01	2ed2
judgment.n.02	2ed3
logistic_assessment.n.01	2ed4
myxomycetes.n.01	2ed5
skin_cell.n.01	2ed6
island.n.01	2ed7
prunus.n.01	2ed8
rhetorical_device.n.01	2ed9
onomatopoeia.n.01	2eda
strip.v.10	2edb
shears.n.01	2edc
address.n.01	2edd
poacher.n.03	2ede
pogge.n.01	2edf
horticulturist.n.01	2ee0
spatchcock.v.01	2ee1
subfamily.n.01	2ee2
handwear.n.01	2ee3
glove.n.02	2ee4
cheat_on.v.01	2ee5
genus_geranium.n.01	2ee6
canter.n.01	2ee7
carica.n.01	2ee8
click.v.05	2ee9
compulsive.n.01	2eea
exhibitionist.n.01	2eeb
parakeet.n.01	2eec
ring-necked_parakeet.n.01	2eed
knife.n.02	2eee
fungal_infection.n.01	2eef
candidiasis.n.01	2ef0
aplysia.n.01	2ef1
erysimum.n.01	2ef2
stop.n.05	2ef3
light.n.02	2ef4
flood.n.03	2ef5
harass.v.01	2ef6
frigid_zone.n.01	2ef7
loganiaceae.n.01	2ef8
center.n.08	2ef9
big_cat.n.01	2efa
lion.n.01	2efb
macrouridae.n.01	2efc
shovel.n.01	2efd
scoop.n.05	2efe
bowler_hat.n.01	2eff
judge.v.01	2f00
referee.v.01	2f01
menurae.n.01	2f02
oblige.v.02	2f03
acinonyx.n.01	2f04
parade.n.01	2f05
commando.n.02	2f06
gallinula.n.01	2f07
rust.n.01	2f08
flowering_quince.n.01	2f09
passivity.n.01	2f0a
apathy.n.02	2f0b
chimaphila.n.01	2f0c
ice_crystal.n.01	2f0d
shirking.n.01	2f0e
colligation.n.02	2f0f
generalization.n.01	2f10
barrage.n.02	2f11
design.v.04	2f12
emptying.n.01	2f13
player.n.04	2f14
methyldopa.n.01	2f15
primigravida.n.01	2f16
bend.v.02	2f17
inactivity.n.03	2f18
pause.n.02	2f19
brassard.n.01	2f1a
plunder.v.03	2f1b
tide.n.01	2f1c
high_tide.n.01	2f1d
bessemer_converter.n.01	2f1e
country_club.n.01	2f1f
degeneration.n.01	2f20
pituitary.n.01	2f21
shiitake.n.01	2f22
tribolium.n.01	2f23
wrestling_hold.n.01	2f24
distemper.v.01	2f25
mislead.v.01	2f26
phalacrocorax.n.01	2f27
exposure.n.01	2f28
solarization.n.01	2f29
sophisticate.n.01	2f2a
burner.n.01	2f2b
gurgle.v.02	2f2c
hell.n.03	2f2d
gehenna.n.01	2f2e
overlap.n.01	2f2f
light_breeze.n.01	2f30
backpack.n.01	2f31
kitbag.n.01	2f32
primidone.n.01	2f33
phentolamine.n.01	2f34
stilt.n.03	2f35
cut.n.05	2f36
pemphigus.n.01	2f37
shoebill.n.01	2f38
asarum.n.01	2f39
latin.n.03	2f3a
patent.v.03	2f3b
priacanthidae.n.01	2f3c
recommendation.n.02	2f3d
character.n.07	2f3e
lay.v.02	2f3f
linguistics.n.01	2f40
etymology.n.02	2f41
maturation.n.01	2f42
smash.v.10	2f43
odd-toed_ungulate.n.01	2f44
rhinoceros.n.01	2f45
city_district.n.01	2f46
semantic_role.n.01	2f47
chip.v.04	2f48
spiderwort.n.01	2f49
periclase.n.01	2f4a
areola.n.02	2f4b
soft_drug.n.01	2f4c
borderer.n.01	2f4d
magistracy.n.01	2f4e
eden.n.01	2f4f
propagandist.n.01	2f50
sloganeer.n.01	2f51
spin.n.02	2f52
pirouette.n.01	2f53
struthio.n.01	2f54
certificate.v.02	2f55
buffalo_nut.n.01	2f56
feeding.n.02	2f57
forced_feeding.n.01	2f58
dunce.n.01	2f59
boost.v.05	2f5a
delete.v.01	2f5b
strike.v.14	2f5c
moviegoer.n.01	2f5d
stand.v.01	2f5e
killer.n.01	2f5f
hydromorphone_hydrochloride.n.01	2f60
copernicia.n.01	2f61
vasopressin.n.01	2f62
hexalectris.n.01	2f63
chamaecyparis.n.01	2f64
