Top250	1
Ore.	533
268062	534
Harry & Izzy's Circle Centre	535
12809921	536
Indianapolis	537
Ind.	538
174166	539
Taste of Texas	53a
19530159	53b
Houston	53c
Texas	53d
375241	53e
Abe & Louie's	53f
17063477	540
Boston	541
Mass.	542
160762	543
Original Joe's Westlake	544
18159612	545
Daly City	546
Calif.	547
473492	548
Shaw's Crab House	549
17965500	54a
270000	54b
Carmine's (Las Vegas)	54c
15067804	54d
176221	54e
Le Diplomate	54f
18490719	550
Washington	551
D.C.	552
363609	553
Quality Italian	554
17519000	555
New York	556
N.Y.	557
177337	558
Gibsons Bar & Steakhouse	559
19831818	55a
Oak Brook	55b
276444	55c
The Boathouse Orlando	55d
35218364	55e
820819	55f
Gibsons Italia	560
22749232	561
252962	562
Siena Tavern	563
13100000	564
238182	565
Girl & the Goat	566
12894700	567
183000	568
Virgil's Real Barbecue	569
12245998	56a
251800	56b
Paradise Cove Beach Cafe	56c
13654113	56d
Malibu	56e
312050	56f
Chops Lobster Bar	570
17816450	571
Atlanta	572
Ga.	573
168000	574
18483056	575
Rosemont	576
252419	577
Sparks Steak House	578
17519030	579
198200	57a
Beauty & Essex (Las Vegas)	57b
14130500	57c
150000	57d
Prime 112	57e
23800000	57f
Miami Beach	580
206000	581
LAVO Italian Restaurant & Nightclub	582
26916180	583
198500	584
Joe's Seafood, Prime Steak & Stone Crab	585
22859400	586
286000	587
Beauty & Essex (New York City)	588
16364050	589
187970	58a
Castaway Burbank	58b
14407413	58c
Burbank	58d
180320	58e
The Lobster House	58f
15450000	590
Cape May	591
N.J.	592
320000	593
Bob Chinn's Crab House	594
18687601	595
Wheeling	596
625907	597
Southern Steak & Oyster	598
12566618	599
Nashville	59a
Tenn.	59b
337920	59c
Upland	59d
11965564	59e
171825	59f
Bottega Louie	5a0
18521000	5a1
Los Angeles	5a2
322562	5a3
Swan	5a4
1.5e+07	5a5
Miami	5a6
225000	5a7
Bazaar Meat by Jose Andres	5a8
22181607	5a9
190000	5aa
Shooters Waterfront	5ab
18601433	5ac
409752	5ad
Mi Vida	5ae
12032014	5af
226226	5b0
Founding Farmers (Washington, D.C.)	5b1
17910045	5b2
648096	5b3
Junior's (Brooklyn)	5b4
13908292	5b5
359000	5b6
Chicago Cut Steakhouse	5b7
17743720	5b8
211000	5b9
Quality Meats	5ba
18678000	5bb
165148	5bc
Maple & Ash	5bd
24837595	5be
210832	5bf
11391678	5c0
208276	5c1
Park Avenue Summer (Autumn, Winter, Spring)	5c2
12498000	5c3
164531	5c4
Farmers Fishers Bakers	5c5
12572109	5c6
371025	5c7
Carmine's (Times Square)	5c8
39080335	5c9
469803	5ca
Quartino Ristorante & Wine Bar	5cb
13854856	5cc
394582	5cd
Zehnder's of Frankenmuth	5ce
16063684	5cf
Frankenmuth	5d0
Mich.	5d1
959026	5d2
Tavern on Rush	5d3
12884000	5d4
178944	5d5
Farmers & Distillers	5d6
12278839	5d7
375309	5d8
Carmine's (Atlantic City)	5d9
13987843	5da
Atlantic City	5db
129630	5dc
George's at the Cove	5dd
12194000	5de
La Jolla	5df
250000	5e0
SW Steakhouse	5e1
21523650	5e2
145700	5e3
The Hamilton	5e4
23138062	5e5
700861	5e6
Matt's El Rancho	5e7
14381904	5e8
Austin	5e9
495927	5ea
Komodo	5eb
22500000	5ec
265000	5ed
Founding Farmers (McLean, Va.)	5ee
13102742	5ef
McLean	5f0
Va.	5f1
390104	5f2
BOA Steakhouse 	5f3
13552485	5f4
West Hollywood	5f5
123204	5f6
St. Elmo Steak House	5f7
21422141	5f8
192774	5f9
Le Coucou	5fa
12187523	5fb
87070	5fc
Old Ebbitt Grill	5fd
29104017	5fe
892830	5ff
Parc	600
19379153	601
Philadelphia	602
Pa.	603
486219	604
Smith & Wollensky	605
24501000	606
257364	607
Scoma's	608
12713394	609
San Francisco	60a
292000	60b
Carmine's (Washington, D.C.)	60c
12228168	60d
148135	60e
22981600	60f
252500	610
Grand Central Oyster Bar	611
16304883	612
296000	613
Cliff House	614
14465847	615
199901	616
Junior's (Times Square)	617
23640652	618
914500	619
Franciscan Crab Restaurant	61a
12218147	61b
240000	61c
Big Texan Steak Ranch	61d
12505200	61e
Amarillo	61f
478000	620
RPM Steak	621
20853300	622
202900	623
Bryant Park Grill & Cafe	624
26900000	625
403000	626
Del Posto	627
18625033	628
95000	629
Atlanta Fish Market	62a
14972300	62b
274000	62c
Keens Steakhouse	62d
15629700	62e
168301	62f
15th Street Fisheries	630
14978103	631
Fort Lauderdale	632
Fla. 	633
356000	634
Prime & Provisions	635
15100000	636
116154	637
Original Joe's	638
13177468	639
267533	63a
Mon Ami Gabi	63b
20120210	63c
319200	63d
Rusty Pelican	63e
16981741	63f
182000	640
Delmonico Steakhouse	641
16154000	642
133000	643
Balthazar	644
24547800	645
519000	646
Acme Feed & Seed	647
14897125	648
527130	649
23660000	64a
277850	64b
Buddakan	64c
22395577	64d
221059	64e
Angus Barn	64f
24268160	650
Raleigh	651
N.C.	652
315000	653
Harris Ranch Inn & Restaurant	654
17599468	655
Coalinga	656
611928	657
Junior's (49th Street)	658
17834390	659
798000	65a
Tavern on the Green	65b
17212800	65c
Lavo Italian Restaurant & Lounge	65d
18386262	65e
115500	65f
China Live	660
15106280	661
3e+05	662
Harry Caray's Italian Steakhouse	663
15680000	664
287900	665
Makoto	666
18216906	667
Bal Harbour	668
256830	669
Frankenmuth Bavarian Inn	66a
17388751	66b
899284	66c
25409952	66d
348567	66e
Top of the World at the STRAT 	66f
25233543	670
246054	671
